A_CpG_ID	TCGA-OR-A5JP-01A	TCGA-OR-A5JA-01A	TCGA-P6-A5OG-01A	TCGA-OR-A5J9-01A	TCGA-OR-A5LK-01A	TCGA-OR-A5JE-01A	TCGA-OR-A5JC-01A	TCGA-OR-A5J1-01A	TCGA-OR-A5LH-01A	TCGA-OR-A5J6-01A	TCGA-OR-A5LM-01A	TCGA-OR-A5K9-01A	TCGA-OR-A5LB-01A	TCGA-OR-A5LA-01A	TCGA-OR-A5JF-01A	TCGA-OR-A5K0-01A	TCGA-OR-A5LC-01A	TCGA-OR-A5K1-01A	TCGA-PK-A5HA-01A	TCGA-OR-A5JX-01A	TCGA-OR-A5KY-01A	TCGA-OR-A5L4-01A	TCGA-OR-A5KW-01A	TCGA-OR-A5JZ-01A	TCGA-OU-A5PI-01A	TCGA-OR-A5JJ-01A	TCGA-OR-A5L3-01A	TCGA-OR-A5JT-01A	TCGA-OR-A5LE-01A	TCGA-OR-A5K3-01A	TCGA-OR-A5LD-01A	TCGA-OR-A5LG-01A	TCGA-OR-A5KT-01A	TCGA-OR-A5LS-01A	TCGA-OR-A5LT-01A	TCGA-OR-A5LL-01A	TCGA-OR-A5J8-01A	TCGA-OR-A5JO-01A	TCGA-OR-A5LO-01A	TCGA-OR-A5LN-01A	TCGA-OR-A5JY-01A	TCGA-OR-A5J4-01A	TCGA-OR-A5K4-01A	TCGA-PA-A5YG-01A	TCGA-OR-A5JW-01A	TCGA-OR-A5J5-01A	TCGA-OR-A5JI-01A	TCGA-P6-A5OF-01A	TCGA-OR-A5J2-01A	TCGA-OR-A5LR-01A	TCGA-OR-A5JR-01A	TCGA-PK-A5HB-01A	TCGA-OR-A5L9-01A	TCGA-OR-A5KO-01A	TCGA-OR-A5K5-01A	TCGA-OR-A5J3-01A	TCGA-OR-A5LP-01A	TCGA-OR-A5JB-01A	TCGA-OR-A5JM-01A	TCGA-OR-A5L6-01A	TCGA-OR-A5LJ-01A	TCGA-OR-A5L5-01A	TCGA-OR-A5JV-01A	TCGA-OR-A5L8-01A	TCGA-OR-A5K6-01A	TCGA-PK-A5H8-01A	TCGA-OR-A5K2-01A	TCGA-OR-A5JG-01A	TCGA-OR-A5KZ-01A	TCGA-OR-A5JS-01A	TCGA-PK-A5H9-01A	TCGA-OR-A5JK-01A	TCGA-OR-A5JL-01A	TCGA-OR-A5JQ-01A	TCGA-OR-A5J7-01A	TCGA-OR-A5K8-01A	TCGA-OR-A5KX-01A	TCGA-OR-A5KV-01A	TCGA-OR-A5JD-01A	TCGA-OR-A5KU-01A
cg05301976	0.959171723709426	0.954558945212159	0.930667709809123	0.967509190826301	0.961568256655476	0.963727515167541	0.944567315366166	0.966814656019755	0.969226622234281	0.956745163731879	0.966447362906276	0.961139926820214	0.974416378735793	0.964524846287647	0.963664231146595	0.958925606538291	0.959899387574973	0.966523932404871	0.94252812291918	0.971131889554041	0.968247828084801	0.972405980997341	0.969264661395483	0.94841407207443	0.970968296756985	0.974074952236633	0.959294393999211	0.969014280674838	0.951458333297129	0.964452239598959	0.96123674332769	0.954113304898244	0.968973436371628	0.976659163842062	0.959019873097888	0.958911440331155	0.964197271100493	0.958915373255664	0.972431077869318	0.971224768601536	0.962827498731043	0.956764384472994	0.967405218041877	0.955736211450967	0.970962314877945	0.968012847341693	0.960184808916703	0.963234825987625	0.958979522990049	0.949174044989425	0.959783310792145	0.962731996957628	0.964355779517586	0.968494596376014	0.960480232101999	0.970468517593777	0.938280486308429	0.96644419893966	0.955889311910887	0.96221695248155	0.971751943052589	0.957853201571945	0.940471947430807	0.961091018897008	0.96996955839578	0.962847540509275	0.962145588118816	0.965152434527913	0.966951217701358	0.969717481719039	0.969536019742361	0.966068788493644	0.966057853011154	0.961459746198285	0.965334568684404	0.959265025802399	0.968541712244708	0.962314139616708	0.961813715203301	0.966727180000878
cg05305060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05331252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05345062	0.926877547353697	NA	0.772805815025138	0.924386371193699	0.926172493740201	0.886631053130301	0.850658118699535	0.916785069638448	0.609275106552998	0.909375017413561	0.90658362104676	0.931544396384453	0.932063423537705	0.926603588549785	0.919938306841613	0.640593085226073	0.62033196379844	0.307981221157122	0.864800256861603	0.927222187582239	0.928715957581716	0.685372883240798	0.232757266527214	NA	0.922120470747977	0.919488916134957	0.736001680349243	0.916632008674938	0.575866300963362	0.764433203717726	0.948226543125981	0.918289552675517	0.644327504566661	0.922648991257326	0.940275259209344	0.873141833008035	0.579847107604891	0.911443067697077	0.926506401827091	0.923152661526228	0.705785286910957	0.876835544487881	0.194246693601467	0.910624481838634	0.922465895259787	0.939479151204101	0.893814866518928	0.876309078924933	NA	0.901238791141915	0.76618169292843	0.895621387589819	0.920765507306367	NA	0.909401478894151	0.910771380889182	0.899812526418419	0.940616775340346	0.912907378144847	0.672640895054943	0.298252290720771	0.790019857012796	0.81284442508764	0.925739978933317	0.899903942499179	0.849698624943389	0.926215883584846	0.817490008896898	0.539321476413745	0.935032557847307	0.450492020523375	0.673388436803239	0.889400448918107	0.85919705499921	0.880835868070683	0.936300382268983	0.844885210223664	0.936790967007342	0.921527087604343	0.8986254039059
cg05379002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05402641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05445006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05456482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05461143	0.588822784091994	0.691730800985868	0.868972964712047	0.95248374690562	0.785382065507775	0.6743191314092	0.718590361772109	0.728424156590024	0.874134305320741	0.684797642888328	0.462422661896193	0.134168720964273	0.859295214692085	0.779906611665246	0.892587684840228	0.126557144848736	0.171476354970787	0.656730170121784	0.369430565344862	0.439026284655156	0.848175297576037	0.356740935736279	0.260677687221164	NA	0.949626550472498	0.559184375697528	0.431065986359122	0.673141623472281	0.117299800752963	0.42097627718418	0.937412224751363	0.432842789253907	0.580388601844292	0.948655715035571	0.27107934874025	NA	0.401632997814224	0.574388704462115	0.625435363399023	0.690143780322452	0.351244450009168	NA	0.176471928183571	0.466930139244307	0.252516763985877	0.94994466252518	0.851780480225367	0.692135203998003	0.211539979144847	0.924853031915447	0.284793395874982	0.251358334054768	0.842246859608781	0.165927666473773	0.833640924611259	0.161602112938746	0.681752365864207	0.501189565598445	0.166177314929242	0.288530229173386	0.540487519189261	0.753503783855296	0.625410603588029	0.598586823043036	0.75766785915038	0.567343289790135	0.611241613470326	0.194661751011951	0.294593918950322	0.500357022246217	0.509284045328722	0.440357675931593	0.710365121504236	0.893144627142361	0.939808661545036	0.233972833881381	0.657410469119926	0.380597957833891	0.902016364706527	0.707346785571391
cg05481217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05484606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05516061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05543443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05554543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05590818	0.802868881499401	0.812959014920393	0.623948914410486	0.779200273818029	0.766581043921068	0.874350329547666	0.792760599633404	0.360846157464027	0.881116833151636	0.86969499978941	0.488187377478618	0.89538778961796	0.929306753233599	0.757511681722646	0.326619223351924	0.829229232862148	0.772169943249295	0.371368871044883	0.888516398403986	0.119082432805248	0.91574616989324	0.931040113940782	0.676092596167486	0.924753221962933	0.902774538351287	0.920606226144799	0.330500857287044	0.71413339450936	0.933941494670192	0.560725082104842	0.804421264807478	0.340636584148362	0.860062877848947	0.937112057073366	0.925899926164108	0.165390494576875	0.867394377351856	0.259830459337054	0.90690630376102	0.871338567679836	0.918396930705494	0.913386329713831	0.899615861449852	0.849302292792742	0.893944538959496	0.947329829716955	0.891709134667137	0.921401578226065	0.104379589314676	0.836675342702628	0.250956687733593	0.925015120462709	0.584616044920062	0.948179057021705	0.539936330094052	0.693732367830441	0.238614613363581	0.891549478848798	0.930341437765705	0.873567208000225	0.922566604559392	0.508852042766786	0.432866745370527	0.841045374675261	0.909716678221165	0.88420982022279	0.871900073342189	0.949682806489047	0.882574220053756	0.116695974871794	0.467265523849613	0.808742788039867	0.894002799303284	0.885415056157289	0.903464286893407	0.927747278739076	0.806731572083584	0.509381635260453	0.851539640678567	0.751078474224619
cg05620791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05669672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05679686	0.955032041499143	0.893022010268026	0.818808294784118	0.915276605090655	0.891367806179659	0.919866733901721	0.929620748049021	0.925045100172328	0.764651349061258	0.902173521214731	0.867340921091616	0.952278678141731	0.949366721030631	0.906076547321621	0.917273930302831	0.881086776980715	0.897620089662555	0.651314932836969	0.935352795743071	0.772120480812434	0.892616964357086	0.93080095428252	0.504942904347089	0.564416796095483	0.943226872048907	0.949108858312573	0.905188723660748	0.758959364831827	0.969052054926579	0.935068105159053	0.926957179931675	0.691945917578359	0.906926639574735	0.80153913847674	0.567776985865192	0.536469853865208	0.93251246780354	0.899622977856172	0.946115639424731	0.753173737786636	0.949333786294807	0.928889191790645	0.883743093492422	0.906513043121903	0.928112369779743	0.931885321297687	0.885958506334864	0.849729356231251	0.233914473548322	0.948558972897881	0.92318036057216	0.948804958379901	0.880356191483927	0.951850090346454	0.890758719637152	0.932091082231511	0.906098953074188	0.921524712525741	0.800799665157738	0.874938640800676	0.863146247498905	0.900314185274233	0.909431043293802	0.887694264760488	0.893378771724789	0.911405231820559	0.936689964164406	0.943988361227931	0.742617364750241	0.94762762349195	0.938817571379931	0.846362530452708	0.802106310944985	0.90761975518066	0.920205989210226	0.941160413745687	0.890988920016423	0.941219233073554	0.919561084100434	0.757229763179226
cg05768747	0.943045931373616	0.709323394923356	0.891373793643408	0.953006728909988	0.942957468446902	0.951262879273792	0.934898316183952	0.953819927150322	0.912452378671833	0.845714703540675	0.953476015667164	0.1239335447595	0.948789964300166	0.617223407230543	0.96060091094921	0.600391737425223	0.154709701604982	0.285113857441354	0.929006327357634	0.95039110279876	0.955815042887128	0.272561726017484	0.600178300298242	0.165365242846895	0.950876373397203	0.931952888513541	0.657043143511187	0.216978538028333	0.147254704526848	0.645456307610965	0.957176683960297	0.600047918431451	0.46955118479729	0.947470062118767	0.285328249034292	0.9303859514843	0.464292513531669	0.703636911574539	0.963298581462425	0.870229159074685	0.94006195941644	0.617779628793424	0.129667796705987	0.582427454296332	0.953993430809745	0.954828188167944	0.890254552617385	0.923454634792194	0.252214742198595	0.4882942595097	0.910305354343157	0.93821316127652	0.926323778459829	0.160133542182653	0.94800644751842	0.437247174719932	0.736183173235853	0.965816633411701	0.95534422412531	0.817016142862493	0.744693199415618	0.827291720457553	0.685425760021831	0.954058485119104	0.951223531470216	0.598920441686383	0.962074532695776	0.416445745775007	0.733503591235397	0.956506521456694	0.705931913140366	0.62805923359201	0.902475347339478	0.932957663217342	0.950192812727187	0.776702711541818	0.938548640587514	0.811818151045258	0.946251835681713	0.548546485790932
cg05773164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05822658	0.69082055809266	0.512173592824215	0.899100619598712	0.914284092583321	0.884336404706848	0.668812353154914	0.453988643338093	0.281347725142893	0.752479688726227	0.58244002610167	0.262261573212596	0.146110295977702	0.207186173364152	0.802784451355312	0.385443874091511	0.120630623805249	0.389016853289923	0.798084398744786	0.645286916890335	0.515940717388149	0.785088843678261	0.713333582871445	0.497949556380937	0.205161583276698	0.604917433667109	0.565720713525816	0.64709114667203	0.239674459034631	0.0980107832816853	0.637150671049885	0.578193123912523	0.679896936550938	0.411936803751387	0.91234287453427	0.420049233522505	0.601238518703476	0.517452565323468	0.749776292586113	0.684835182362488	0.796749817916405	0.240196203880954	0.447279458619257	0.180345042771303	0.490344807024118	0.229602046479894	0.632593450615639	0.729301215912114	0.49700682203565	0.399058977983136	0.277010202019066	0.597399642317395	0.446022256858688	0.412371590516088	0.536068980334961	0.794834624537817	0.47966644202956	0.442768665291607	0.44417044854386	0.201235962365067	0.336192542591927	0.527091405175507	0.715781830291991	0.573893573948612	0.865803355068581	0.539983814030923	0.83862856633841	0.360357973241196	0.267590595085378	0.200037170664704	0.87768050893806	0.551518890231241	0.350331750167056	0.661007645098074	0.702800476763086	0.88352421441595	0.237722636752336	0.420308162723061	0.525689486403061	0.837207492517672	0.306789954351819
cg05828992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05864350	0.962038108505072	0.963823912703997	0.952419489212477	0.964657796164839	0.959734955527713	0.954704696901886	0.963936973310007	0.944169966179446	0.972110463178983	0.954635199213413	0.963966909675454	0.95529415941758	0.957637803716467	0.967380338094504	0.968986416211739	0.954759456291855	0.953889387280959	0.965672952260611	0.945394615922256	0.96787546802212	0.960343308345134	0.969533763759713	0.968096863397077	0.944307950434276	0.959958035280062	0.967960650502756	0.968241626500009	0.975646746521007	0.953040172120864	0.966061659078991	0.954218542415402	0.969096700175779	0.970471604414451	0.97135076806783	0.969127774109355	0.955918357248008	0.960569410237851	0.956389232747622	0.966189304074609	0.968490885901644	0.969603627212797	0.962669744904297	0.95784285994341	0.963618368318624	0.970184801457344	0.964397733132171	0.96479314281764	0.952102690217595	0.965430943043255	0.956172289879055	0.96321950591219	0.943101560521022	0.961061642123241	0.965991207204666	0.96189134833262	0.965727392758948	0.966386653489351	0.950806504560559	0.950933557314885	0.970035719671173	0.960300572308407	0.957858510696373	0.964645116543342	0.955376132564492	0.967210171632109	0.963566719491548	0.954851804921736	0.961297028115172	0.957673994644835	0.960691209040141	0.958655124738192	0.964150860519216	0.954485911071824	0.963083861092127	0.959649517381011	0.973286042540915	0.943900345702924	0.961989894880862	0.964283465316871	0.967514730975457
cg05906717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05919161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05935774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg05987389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg06021910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg06022832	0.957206709534227	0.936066712521995	0.945391782815014	0.963966913395831	0.925315192958274	0.949429283108119	0.940385761503812	0.957706222356486	0.942995203240022	0.946677709580013	0.948426751444942	0.958989381408267	0.955569543455079	0.914273570672714	0.96487973641711	0.938678605848582	0.943350136975721	0.951522333837834	0.957454523590889	0.946251805944239	0.944476504032093	0.941799705527645	0.945144837962463	0.947733708957146	0.938015809646223	0.953543017003023	0.954614409337964	0.968304479671429	0.952576311274628	0.94511426032039	0.919107159258956	0.959567319047274	0.921950454556164	0.933157115366611	0.955444598435594	0.955106649362246	0.943792137656633	0.964117910933821	0.959067070123941	0.968286177887116	0.936299056568325	0.950315510535024	0.946584422957034	0.960927821201216	0.955470012155873	0.955929305805889	0.942402801757776	0.961137372949978	0.442918503138714	0.93976168816488	0.950315983370129	0.932923815423508	0.938438310656127	0.946138302231315	0.934060671038856	0.874416305204823	0.937295343651641	0.961934079817116	0.94000877834372	0.950561355121047	0.964493937150982	0.936156035232996	0.956503358909871	0.963954386693994	0.94697320382425	0.957912774549459	0.910091606890142	0.95314697881942	0.931273257268134	0.959272261432097	0.932717108422514	0.939335451138425	0.951655381976788	0.943236323145544	0.944637598379295	0.944856380264731	0.962722499983132	0.947337344326571	0.955504207870347	0.951696040020473
cg06031526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg06073147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg06073550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg06082293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg06113303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg06151505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg06211041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg06215556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
