A_CpG_ID	TCGA-YZ-A983-01A	TCGA-V4-A9ET-01A	TCGA-WC-A880-01A	TCGA-V4-A9EW-01A	TCGA-WC-A87T-01A	TCGA-VD-AA8P-01A	TCGA-VD-A8KG-01A	TCGA-V4-A9EK-01A	TCGA-V4-A9EZ-01A	TCGA-V4-A9F4-01A	TCGA-WC-A88A-01A	TCGA-V3-A9ZX-01A	TCGA-V4-A9F8-01A	TCGA-VD-A8K8-01A	TCGA-V4-A9F0-01A	TCGA-WC-A883-01A	TCGA-V4-A9EF-01A	TCGA-V4-A9EQ-01A	TCGA-VD-A8KL-01A	TCGA-V4-A9E7-01A	TCGA-V4-A9F7-01A	TCGA-VD-AA8S-01B	TCGA-VD-AA8N-01A	TCGA-WC-A881-01A	TCGA-YZ-A984-01A	TCGA-VD-AA8T-01A	TCGA-VD-A8KM-01A	TCGA-VD-A8KI-01A	TCGA-VD-A8KO-01A	TCGA-WC-AA9A-01A	TCGA-RZ-AB0B-01A	TCGA-V4-A9E5-01A	TCGA-WC-A87Y-01A	TCGA-VD-A8KB-01A	TCGA-WC-A888-01A	TCGA-V4-A9ED-01A	TCGA-WC-A87U-01A	TCGA-V4-A9EM-01A	TCGA-WC-A882-01A	TCGA-VD-A8KJ-01A	TCGA-V4-A9EX-01A	TCGA-VD-A8KD-01A	TCGA-VD-AA8M-01A	TCGA-VD-A8KN-01A	TCGA-V4-A9EJ-01A	TCGA-V4-A9EV-01A	TCGA-VD-A8K9-01A	TCGA-V4-A9EO-01A	TCGA-VD-A8KK-01A	TCGA-V3-A9ZY-01A	TCGA-YZ-A980-01A	TCGA-VD-A8KA-01B	TCGA-VD-A8KH-01A	TCGA-WC-AA9E-01A	TCGA-V4-A9E9-01A	TCGA-V4-A9EH-01A	TCGA-V4-A9EY-01A	TCGA-VD-AA8Q-01A	TCGA-V4-A9F2-01A	TCGA-WC-A87W-01A	TCGA-VD-A8K7-01B	TCGA-V4-A9EL-01A	TCGA-VD-A8KF-01A	TCGA-V4-A9F1-01A	TCGA-VD-AA8R-01A	TCGA-WC-A884-01A	TCGA-V4-A9EU-01A	TCGA-V4-A9EA-01A	TCGA-V4-A9F5-01A	TCGA-VD-A8KE-01A	TCGA-YZ-A982-01A	TCGA-VD-AA8O-01A	TCGA-V4-A9EI-01A	TCGA-V4-A9E8-01A	TCGA-V4-A9ES-01A	TCGA-V4-A9F3-01A	TCGA-YZ-A985-01A	TCGA-V4-A9EE-01A	TCGA-V4-A9EC-01A	TCGA-WC-A885-01A
cg07221511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07228905	0.889634792353583	0.907090869997207	0.871731270969611	0.895796678432653	0.931933388206815	0.911791722200452	0.901000617196796	0.89207574867775	0.92391654108875	0.904535223910961	0.88304808630878	0.915300993601896	0.92849383031804	0.873479374683835	0.930433476977677	0.88582480253647	0.90298984734153	0.925017090833581	0.936099263105056	0.916417151961726	0.892382508436801	0.915593952962662	0.91244772109276	0.924501715261729	0.908934168897359	0.939203409107435	0.781254806881001	0.900605062782268	0.924098084038343	0.914371574694417	0.918898132038295	0.593856962983948	0.890882244224378	0.930765785907367	0.868279411474005	0.933670362512639	0.902727245360568	0.837959778489176	0.940013531716522	0.919888336002428	0.902916226728271	0.874109189084855	0.889529491287897	0.902161057500295	0.930824710211219	0.840931215802701	0.921157632629994	0.918941299787558	0.946344002465598	0.903502078186666	0.913029769173581	0.944434951966481	0.923222467311152	0.942771537622405	0.932018274709447	0.936123799486122	0.910551996631476	0.944256797113715	0.88887922585436	0.759717352310605	0.938435147383942	0.90124156930667	0.947871985936592	0.903217016797562	0.93878352684985	0.894251114285527	0.907659990393864	0.855293460888644	0.948700024281209	0.916220293717615	0.942328367564609	0.915850994759086	0.899838741636085	0.870601294947224	0.925435844941904	0.876508225462896	0.940705656600247	0.900492026307972	0.880249145602449	0.928010574864947
cg07242196	0.982716554279746	0.979836582317319	0.978142987458456	0.976801130808494	0.970282475651314	0.973928726187628	0.981511313215464	0.977889289329694	0.98750391950769	0.976856370865984	0.978277371486792	0.980245441758738	0.975473505548615	0.987398269565604	0.972010919125916	0.966515795217751	0.983476456888244	0.978448037791307	0.976580330844388	0.9789035293219	0.973666398045389	0.96741385774096	0.985953077252495	0.978516653929829	0.982666785413898	0.97700814477259	0.976716795102643	0.979335746533949	0.975668646531551	0.976453447627614	0.981011909053063	0.980669405754328	0.966452952042663	0.979855001442462	0.984262549532674	0.978067048213999	0.983784676274364	0.986841132199142	0.982844753341771	0.978908663994892	0.981233035848089	0.982110140241301	0.975948624275195	0.971954928336007	0.981743512008071	0.978157275517606	0.977092818976212	0.970372167190461	0.984202141216501	0.982102143763983	0.98465367263909	0.982060332822289	0.980985988358415	0.980219451541311	0.978756779593204	0.976885590512588	0.973327406779784	0.973000067692325	0.985430282606674	0.982790507112986	0.983341649175047	0.979473758937128	0.978412366123544	0.982650212605507	0.984241141501113	0.96933619149505	0.981104555749342	0.981551624327217	0.9811647186295	0.981671435999094	0.982225969734357	0.983926903771659	0.981759840130855	0.981704882505193	0.981748461569584	0.982268514887715	0.980214152422206	0.982467748965402	0.970662398152442	0.976499014659751
cg07244523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07252846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07277465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07283015	0.968943458812206	0.973905894678339	0.956646517551172	0.960690086656458	0.9614946347196	0.964958158526771	0.965991227178597	0.967618659505359	0.962877900744382	0.958645320796167	0.969957345366327	0.95411470840975	0.955727245333084	0.957283911631454	0.956985592451	0.943446772533214	0.966562096879697	0.958379395354451	0.966109849753121	0.970861271170646	0.955831223094085	0.959765030960755	0.953246796317663	0.963759018692359	0.966119326856448	0.957868616925123	0.935757492332045	0.965396212929674	0.966791412455682	0.965617858322118	0.966147267740275	0.957850991177382	0.930202841901671	0.949207505401621	0.939613746589767	0.966051783432361	0.96273125791762	0.965387067505417	0.963336598336047	0.968739562799792	0.956356754080081	0.954292844541136	0.95784300125484	0.956181187146366	0.956412041394436	0.945490310982225	0.965761037597534	0.969740835659647	0.961071317064129	0.973529698712328	0.950399541053361	0.964112543183203	0.959801276928359	0.964105566226709	0.965533404483073	0.967449912602273	0.95785325602917	0.948917584882736	0.954106570654092	0.969412184275453	0.958774601718717	0.929220453504002	0.962986928650687	0.949554788665797	0.960989593836869	0.955973340567241	0.950042269612745	0.966774731512869	0.962904491094693	0.963828698501896	0.968088373255972	0.953282643178943	0.961311821057976	0.945976704494406	0.96591933936247	0.958368412564836	0.964309612165722	0.933461130119891	0.97090535646373	0.962498527325566
cg07372195	0.960436069602664	0.961167656891958	0.942846185236582	0.94849589811535	0.936326960745503	0.944795309899661	0.952713520641158	0.956029489725555	0.942823100020931	0.947461068303978	0.949566876998828	0.946316514327661	0.949544837382464	0.947481219685913	0.956585593076938	0.933692786732027	0.952271896172725	0.947376209971037	0.949103925811009	0.950281087626025	0.94503248587245	0.955495599084325	0.939873748592989	0.952101279513696	0.960357764340331	0.951844877624678	0.944640465024565	0.946667847171305	0.943790656473829	0.934063257070971	0.938997692354102	0.924002481211659	0.939876913644719	0.95343363630452	0.954253741372888	0.951809250267692	0.932671633799123	0.92972869349734	0.940714627289453	0.949710306312046	0.947659782419993	0.941978508318072	0.949326970187273	0.961812559215083	0.960426175086162	0.951852930551535	0.947393787174852	0.942541124402954	0.948028939652979	0.961724460350899	0.943950576583069	0.958380354804522	0.951058822557065	0.944860273511888	0.955380868989545	0.945821408840142	0.955215234460686	0.952970623753913	0.934756177721183	0.95916253124143	0.945891235757102	0.943341284951031	0.949501512360431	0.948297028363416	0.944633771683489	0.967192078642665	0.951503698937885	0.948344475608753	0.951199163697497	0.943812661206406	0.952943391072762	0.95400897960217	0.947362320341395	0.945192754100358	0.943764911269115	0.952624534603515	0.959177910739511	0.952774653953993	0.946613603137491	0.955829087395062
cg07378405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07421068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07427559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07508429	0.911584786182425	0.934640268661237	0.886188040081472	0.838928087315037	0.830721169742028	0.882462444361265	0.688802652142935	0.931301060601201	0.607519188593783	0.884536839448278	0.675365973637006	0.794579533675539	0.802224914482497	0.752837746030302	0.762288300058914	0.67807353399621	0.537894402559626	0.504941708664504	0.748531742357704	0.854435002342422	0.914628266414062	0.916372771508695	0.535129262855433	0.881982971550615	0.618903274670681	0.886438781948662	0.776917660948014	0.789822334869993	0.933783517274322	0.881209855539414	NA	NA	0.820252861592243	0.882416448054517	0.877953486456554	0.883070074070922	0.890805973473114	0.866440111963792	0.743176689410273	0.885110241938372	0.742693549277625	0.800350808536177	0.840286830674645	0.646664952416587	0.932050398149066	0.757032805908401	0.900058003549666	0.684904455995188	0.681988788124456	0.742849624278411	0.82013044721076	0.882188210496071	0.919255065734551	0.765933851648176	0.854575119871396	0.886236187267286	0.853886589275174	0.659613271068734	0.614484961826465	0.825255998180649	0.920881091147694	0.753875340908291	0.814024213797314	0.76052222662237	0.916661096706981	0.908719113051057	0.650937053447847	0.920652328471404	0.887625922564766	0.86588660776542	0.901131246258232	0.514008795128142	0.667415966682953	0.713781152580536	0.634271204822213	0.8488473858635	0.755602897756587	0.702460743943331	0.805848905987072	0.897050473405704
cg07516965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07532159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07559427	0.958454176628625	0.953763307687976	0.938509416219813	0.958383803448669	0.931945426094762	0.931152883955136	0.943849237986498	0.958473425963273	0.959183084223412	0.953105361371591	0.929126306825432	0.945506760661045	0.948820027731697	0.945886421167355	0.94378591198592	0.947428819487009	0.941111749790207	0.958152870340065	0.917598400421153	0.944688556555792	0.942991133564426	0.923780809062284	0.943520199121357	0.954593301817819	0.930286747568903	0.951633266984998	0.938066204360662	0.944025536186702	0.962432937181513	0.9444688894405	0.957949757715561	0.962236851605087	0.959648157636166	0.955349647223946	0.948298584690471	0.94895569040781	0.958391545184063	0.940552476068794	0.939110139311782	0.9369647106729	0.939606703829724	0.939377766937483	0.952236795243851	0.954769985403774	0.950849192690455	0.952849876115672	0.959651533415991	0.967039862394371	0.959029530199108	0.957833688666514	0.954357932387122	0.951451583337132	0.928333166467503	0.933141742384158	0.959296069279329	0.957417047898761	0.954357850207892	0.94255864536803	0.948750548662046	0.951971346472573	0.96630312006007	0.968379425258412	0.932050545130319	0.954159596209308	0.956954755607315	0.951519865478543	0.960049794348381	0.94261378054035	0.934211665453426	0.942411305256435	0.956755981247227	0.937455043169883	0.935841363319943	0.956071317440352	0.958476401358248	0.949550957028986	0.951946044176255	0.939689207782953	0.962191199131363	0.961979833696705
cg07590638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07612889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07633119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07645858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07672509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07690202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07752079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07752596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07756562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07757454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07810671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07841357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07855322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07856387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07902406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07912810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07922521	0.964203279714103	0.956548644843095	0.95153863244479	0.952995233099462	0.959614971487963	0.945490162925383	0.943069874259598	0.924149501343344	0.937535407422416	0.954362785452179	0.891330754321145	0.866336482471596	0.958308142078841	0.92634025723429	0.906045510067966	0.832921864365965	0.957674767886565	0.929967806672522	0.936138635491365	0.927305289160706	0.964301178837428	0.924043223102068	0.910476256368746	0.942274253892722	0.936875218181761	0.962799682635307	0.824468681300784	0.929575652804457	0.963173904870552	0.964588404410104	0.940231624210701	0.892607334045033	0.856705448117078	0.952112175300722	0.904931805330328	0.939739474805503	0.963341597196057	0.72957904485509	0.952530344148952	0.945928223160533	0.871095845481053	0.907127544207133	0.939714854962254	0.947412556259444	0.954284263702238	0.932389230490813	0.952761993876378	0.959570430616023	0.931645304448809	0.907175866706953	0.960068501337715	0.936890042485249	0.919456450364617	0.934932324637389	0.966289854983624	0.963005324982202	0.95421304510902	0.957531761033873	0.923546171286143	0.956618035253764	0.949071106734551	0.930837200517603	0.956894940087809	0.940004021469853	0.964564449196657	0.938321534987724	0.917288391259884	0.930953856528948	0.942419151644874	0.955735137224386	0.947055188119264	0.959290393292033	0.917849213854425	0.882057964038466	0.966452862446096	0.963023776979828	0.943357950434426	0.898369242908282	0.956246650134899	0.957645383650172
cg07989373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07997387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08005007	0.786254503942836	0.870226187969542	0.805207819011516	0.763801853817858	0.793338623448101	0.784436187994434	0.73318437741792	0.831890470389004	0.809402576356221	0.775239310069642	0.822528076274164	0.812998926073717	0.755322605604798	0.732638241968842	0.819325498018364	0.739726902171819	0.868629517250914	0.919561135560968	0.794440851725589	0.826765167911493	0.803313952027014	0.873400012534947	0.773547413761331	0.757370606265597	0.771222846543282	0.83129503078716	0.826548937068589	0.801888737942677	0.854169176220023	0.763261325859223	0.817641617064812	0.812333439590085	0.854537827137796	0.882480648098974	0.843754844730014	0.784483727433154	0.760566825529392	0.828390000146977	0.788881783549565	0.846272834003122	0.739653584797953	0.766669810320572	0.822266791044355	0.744296346600614	0.815853365147125	0.835830843427694	0.738747701970853	0.754965974680862	0.862266559605421	0.829615803891702	0.888466000723919	0.730018948899673	0.755633979040055	0.818950220335356	0.84086134964775	0.81373929167438	0.832252911008077	0.823277719471376	0.780560979764033	0.869933367889872	0.776323773349571	0.752538008847185	0.760506747410477	0.81778150775933	0.750672980296713	0.793107322769552	0.869748663989368	0.768367067512856	0.757912877137401	0.81070340063839	0.791777980477422	0.854238146337365	0.783383014404498	0.819870309745004	0.78394877029434	0.767514743527288	0.782637358178697	0.823850451586164	0.820046148646297	0.857635825621334
cg08027643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08075677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
